125,Jakob Hlasek,5890993,0,0,0
126,Albert Montanes,5866340,0,0,0
127,Magnus Larsson,5839451,0,0,0
128,Albert Ramos Vinolas,5813057,387334,343972,43362
129,Martin Damm,5735972,0,0,0
130,Gilles Muller,5702896,299768,270318,29450
131,Xavier Malisse,5694825,0,0,0
132,Guy Forget,5669934,0,0,0
133,Robin Haase,5582866,313673,245170,68503
134,Denis Istomin,5515512,179494,166631,12863
135,Brad Gilbert,5509060,0,0,0
136,Benoit Paire,5483479,304477,279969,24508
137,Anders Jarryd,5378067,0,0,0
138,Marcelo Melo,5353436,104284,0,104284
139,Emilio Sanchez,5339395,0,0,0
140,Felix Mantilla,5332214,0,0,0
141,Bernard Tomic,5324085,30889,30552,337
142,Guillermo Canas,5285575,0,0,0
143,David Wheaton,5238401,0,0,0
144,Andrei Pavel,5225028,0,0,0
145,Thomaz Bellucci,5203692,45935,40070,5865
146,Sjeng Schalken,5192798,0,0,0
147,Byron Black,5159775,0,0,0
148,Lucas Pouille,5147607,633450,603838,29612
149,Adrian Mannarino,5120104,361935,333626,28309
150,Edouard Roger Vasselin,5092971,126968,0,126968
151,Leonardo Mayer,5088637,303685,262745,40940
152,Karol Kucera,5061125,0,0,0
153,Vincent Spadea,5004860,0,0,0
154,Guillermo Vilas,4923882,0,0,0
155,Jacco Eltingh,4920410,0,0,0
156,Olivier Rochus,4905754,0,0,0
157,Vasek Pospisil,4902825,154142,146824,7318
158,Sergiy Stakhovsky,4826553,42981,40739,2242
159,Daniel Vacek,4803388,0,0,0
160,Yen Hsun Lu,4796896,0,0,0
161,Simone Bolelli,4783694,57267,12141,45126
162,Alberto Berasategui,4676187,0,0,0
163,Bruno Soares,4654406,143894,0,143894
164,Joao Sousa,4624824,327898,311398,16500
165,Steve Johnson,4589612,358102,276297,81805
166,Magnus Gustafsson,4545489,0,0,0
167,Magnus Norman,4537247,0,0,0
168,Igor Andreev,4510376,0,0,0
169,Pablo Andujar,4496005,194352,174968,19384
170,Horia Tecau,4487531,147487,0,147487
171,Pierre Hugues Herbert,4454138,432935,308464,124471
172,Javier Sanchez,4427811,0,0,0
173,Mischa Zverev,4417574,302001,246942,55059
174,Martin Klizan,4409597,134837,133340,1497
175,Richey Reneberg,4407308,0,0,0
176,Benjamin Becker,4399584,0,0,0
177,Andres Gomez,4385130,0,0,0
178,Donald Young,4368784,151915,119092,32823
179,Jan Siemerink,4347693,0,0,0
180,Nicolas Massu,4343298,0,0,0
181,Victor Hanescu,4330340,0,0,0
182,Rick Leach,4293554,0,0,0
183,Jean Julien Rojer,4292015,196482,0,196482
184,Santiago Giraldo,4285983,7089,5813,1276
185,Francisco Clavet,4271881,0,0,0
186,Rajeev Ram,4219641,126708,2195,124513
187,Paolo Lorenzi,4189959,150273,135514,14759
188,Kevin Ullyett,4138771,0,0,0
189,Lukas Rosol,4100081,4075,3736,339
190,Marc Lopez,4093358,170939,0,170939
191,Carlos Berlocq,4069477,51410,45775,5635
192,Younes El Aynaoui,4044667,0,0,0
193,Mario Ancic,4024686,0,0,0
194,David Prinosil,4016496,0,0,0
195,Teymuraz Gabashvili,4016238,17516,16343,1173
196,Marcin Matkowski,3967739,75563,0,75563
197,Alexander Peya,3962525,124677,0,124677
198,Filippo Volandri,3949631,0,0,0
199,Ryan Harrison,3933167,308339,263801,44538
200,Philipp Petzschner,3929857,18584,1560,17024
201,Henri Leconte,3917596,0,0,0
202,Robby Ginepri,3897123,0,0,0
203,Horacio Zeballos,3865087,262270,159692,102578
204,Rohan Bopanna,3846922,120398,0,120398
205,Alberto Martin,3840885,0,0,0
206,Mikhail Kukushkin,3838587,175569,163420,12149
207,Diego Schwartzman,3830427,816726,741176,75550
208,Potito Starace,3796316,0,0,0
209,Sandon Stolle,3762442,0,0,0
210,Agustin Calleri,3753387,0,0,0
211,Jerzy Janowicz,3753236,0,0,0
212,Jeff Tarango,3730289,0,0,0
213,Karel Novacek,3729540,0,0,0
214,Aaron Krickstein,3710447,0,0,0
215,Dudi Sela,3704943,130230,122372,7858
216,Tomas Smid,3699738,0,0,0
217,Wayne Arthurs,3687809,0,0,0
218,Bjorn Borg,3655751,0,0,0
219,Cyril Suk,3651530,0,0,0
220,Jose Acasuso,3642422,0,0,0
221,Jan Michael Gambill,3612893,0,0,0
222,Hicham Arazi,3602644,0,0,0
223,Jamie Murray,3589893,143894,0,143894
224,Bohdan Ulihrach,3553302,0,0,0
225,Alex O'Brien,3526390,0,0,0
226,Paradorn Srichaphan,3459655,0,0,0
227,Robert Lindstedt,3442219,26829,0,26829
228,Yannick Noah,3440660,0,0,0
229,Jared Palmer,3413189,0,0,0
230,Stefan Koubek,3365024,0,0,0
231,Alexander Volkov,3362840,0,0,0
232,Oliver Marach,3354584,549562,0,549562
233,Wayne Black,3300258,0,0,0
234,Borna Coric,3299731,694353,688658,5695
235,Jim Grabb,3274155,0,0,0
236,Jason Stoltenberg,3259607,0,0,0
237,MaliVai Washington,3232565,0,0,0
238,Jonathan Stark,3220867,0,0,0
239,Nicolas Escude,3216150,0,0,0
240,Andrei Olhovskiy,3208620,0,0,0
241,John Fitzgerald,3207272,0,0,0
242,Mariano Zabaleta,3204127,0,0,0
243,Nicklas Kulti,3186946,0,0,0
244,Daniel Gimeno Traver,3174808,15497,15221,276
245,Tomas Carbonell,3157584,0,0,0
246,Lukas Dlouhy,3141040,0,0,0
247,Wally Masur,3134718,0,0,0
248,Carlos Costa,3134189,0,0,0
249,Patrick McEnroe,3118316,0,0,0
250,Alejandro Falla,3101331,0,0,0
251,Jiri Vesely,3090205,172370,156127,16243
252,Andrei Chesnokov,3084188,0,0,0
253,Andrea Gaudenzi,3063479,0,0,0
254,David Rikl,3063353,0,0,0
255,Kevin Curren,3055510,0,0,0
256,John Peers,3054473,70784,0,70784
257,Mariusz Fyrstenberg,3053264,0,0,0
258,Julian Knowle,3048871,0,0,0
259,Arnaud Boetsch,3031247,0,0,0
260,Aisam Ul Haq Qureshi,3026395,138352,0,138352
261,Kenneth Carlsen,2990980,0,0,0
262,Steve Darcis,2989098,0,0,0
263,Federico Delbonis,2980994,192646,169868,22778
264,Kyle Edmund,2975666,857673,842213,15460
265,Albert Portas,2972633,0,0,0
266,Florent Serra,2970611,0,0,0
267,Davide Sanguinetti,2935584,0,0,0
268,Fernando Vicente,2917616,0,0,0
269,Grant Connell,2911097,0,0,0
270,Lukas Lacko,2911011,130508,129548,960
271,Sebastien Lareau,2879682,0,0,0
272,Paul Hanley,2871560,0,0,0
273,Igor Kunitsyn,2861069,0,0,0
274,Hyeon Chung,2844051,1156988,1134113,22875
275,Jan Lennard Struff,2808667,431123,280727,150396
276,Olivier Delaitre,2788904,0,0,0
277,Brian Gottfried,2782514,0,0,0
278,Vitas Gerulaitis,2778748,0,0,0
279,Michael Berrer,2766701,0,0,0
280,Christophe Rochus,2753294,0,0,0
281,Wojtek Fibak,2725403,0,0,0
282,Andrey Kuznetsov,2713269,548,548,0
283,Malek Jaziri,2711273,317208,312277,4931
284,Dustin Brown,2708172,74784,67016,7768
285,Marc Kevin Goellner,2700899,0,0,0
286,Patrick Galbraith,2684136,0,0,0
287,Tim Mayotte,2663672,0,0,0
288,Andrey Golubev,2663623,0,0,0
289,Andre Sa,2655127,5865,0,5865
290,Luis Horna,2648482,0,0,0
291,Andy Ram,2647616,0,0,0
292,Miloslav Mecir Sr  ,2632538,0,0,0
293,Richard Fromberg,2605740,0,0,0
294,Sargis Sargsian,2603732,0,0,0
295,Justin Gimelstob,2575522,0,0,0
296,Damir Dzumhur,2565525,384654,318551,66103
297,Taylor Dent,2563378,0,0,0
298,Fernando Meligeni,2555367,0,0,0
299,Aljaz Bedene,2549957,260395,258925,1470
300,David Adams,2534247,0,0,0
301,Marc Gicquel,2513519,0,0,0
302,Jonathan Erlich,2506433,16460,0,16460
303,Franco Squillari,2504591,0,0,0
304,Dusan Lajovic,2502348,194492,184664,9828
305,Henri Kontinen,2459103,70784,0,70784
306,Wesley Moodie,2455112,0,0,0
307,Michael Russell,2452569,0,0,0
308,Slava Dosedel,2452512,0,0,0
309,Karen Khachanov,2451879,603198,478525,124673
310,Renzo Furlan,2449043,0,0,0
311,Guillaume Raoux,2446506,0,0,0
312,Brett Steven,2439714,0,0,0
313,Jonas Svensson,2439702,0,0,0
314,Frantisek Cermak,2418073,0,0,0
315,Amos Mansdorf,2412691,0,0,0
316,Johan Kriek,2383794,0,0,0
317,Ellis Ferreira,2375220,0,0,0
318,Hyung Taik Lee,2355686,0,0,0
319,Ruben Ramirez Hidalgo,2346155,0,0,0
320,Pavel Vizner,2337009,0,0,0
321,Carl Uwe Steeb,2320082,0,0,0
322,Donald Johnson,2294044,0,0,0
323,Ricardas Berankis,2292077,127988,127246,742
324,Scott Davis,2286711,0,0,0
325,Gianluca Pozzi,2272035,0,0,0
326,Stephane Robert,2267879,51424,49033,2391
327,David Marrero,2264170,102205,0,102205
328,Andrey Rublev,2261419,563519,436418,127101
329,Andrei Cherkasov,2260281,0,0,0
330,Jaime Yzaga,2235560,0,0,0
331,Tobias Kamke,2234480,33184,29729,3455
332,Raul Ramirez,2217971,0,0,0
333,Jerome Golmard,2215784,0,0,0
334,Bjorn Phau,2189473,0,0,0
335,Evgeny Donskoy,2188406,252829,250677,2152
336,Raven Klaasen,2183908,112768,0,112768
337,Jan Hernych,2179237,1145,1145,0
338,Guido Pella,2177023,284221,242583,41638
339,Igor Sijsling,2158949,8182,7228,954
340,Matthew Ebden,2152927,182386,159618,22768
341,Simon Aspelin,2121037,0,0,0
342,Karol Beck,2110636,0,0,0
343,Sergio Casal,2107745,0,0,0
344,Victor Estrella Burgos,2099946,141635,131832,9803
345,Karim Alami,2087596,0,0,0
346,Ilie Nastase,2076761,0,0,0
347,Joakim Nystrom,2074947,0,0,0
348,Ken Flach,2065246,0,0,0
349,Alex Bogomolov Jr  ,2054594,0,0,0
