144,Barbara Schett,AUT,3109510
145,Mona Barthel,GER,3108974
146,Julie Halard Decugis,FRA,3096734
147,Olga Govortsova,BLR,3053114
148,Ashleigh Barty,AUS,2941548
149,Eleni Daniilidou,GRE,2926357
150,Daria Gavrilova,AUS,2901378
151,Heather Watson,GBR,2871616
152,Naomi Osaka,JPN,2858946
153,Pauline Parmentier,FRA,2839004
154,Lesia Tsurenko,UKR,2825321
155,Aravane Rezai,FRA,2810604
156,Alona Bondarenko,UKR,2785303
157,Alison Riske,USA,2782681
158,Nicole Vaidisova,CZE,2778619
159,Wendy Turnbull,AUS,2769024
160,Jarmila Wolfe,AUS,2732099
161,Tathiana Garbin,ITA,2661973
162,Irina Spirlea,ROM,2652068
163,Nuria Llagostera Vives,ESP,2636375
164,Brenda Schultz Mccarthy,NED,2632740
165,Katerina Siniakova,CZE,2631235
166,Marina Erakovic,NZL,2605983
167,Abigail Spears,USA,2586998
168,Polona Hercog,SLO,2575042
169,Camila Giorgi,ITA,2572335
170,Jill Craybas,USA,2552154
171,Petra Martic,CRO,2493710
172,Alisa Kleybanova,RUS,2492031
173,Monica Puig,PUR,2491837
174,Tamira Paszek,AUT,2482318
175,Lourdes Dominguez Lino,ESP,2434215
176,Nicole Pratt,AUS,2404645
177,Janette Husarova,SVK,2402865
178,Yulia Putintseva,KAZ,2337152
179,Galina Voskoboeva,KAZ,2333432
180,Lauren Davis,USA,2333306
181,Lara Arruabarrena,ESP,2324103
182,Karin Knapp,ITA,2283203
183,Anna Smashnova,ISR,2274431
184,Annika Beck,GER,2254932
185,Arantxa Parra Santonja,ESP,2249642
186,Misaki Doi,JPN,2247623
187,Claudia Kohde Kilsch,GER,2227116
188,Katerina Maleeva,BUL,2220371
189,Kurumi Nara,JPN,2193222
190,Madison Brengle,USA,2190867
191,Tatjana Maria,GER,2187244
192,Bojana Jovanovski Petrovic,SRB,2164556
193,Emilie Loit,FRA,2121660
194,Agnes Szavay,HUN,2120121
195,Manon Bollegraf,NED,2112117
196,Sybille Bammer,AUT,2108725
197,Sofia Arvidsson,SWE,2094753
198,Raquel Atawo,USA,2079044
199,Magui Serna,ESP,2065291
200,Michaella Krajicek,NED,2062703
201,Zarina Diyas,KAZ,2061214
202,Petra Cetkovska,CZE,2056672
